task,model,fold,n_train,n_test,rmse,mae,r2,pearson,spearman
koenig_binding_g6,abmap_esm2_ridge,0,3880,395,0.5751422348381982,0.41028019461924325,-0.04847531292763407,0.34107784752832054,0.30993579468161764
koenig_binding_g6,abmap_esm2_ridge,1,3807,468,0.5642597162863795,0.4158906173824076,0.02300295353685622,0.3897268363745253,0.3784242872301349
koenig_binding_g6,abmap_esm2_ridge,2,3821,454,0.5759094890851897,0.4154729018424013,-0.009914360269224876,0.3539427372984603,0.27669604090706534
koenig_binding_g6,abmap_esm2_ridge,3,3866,409,0.5360118881295853,0.4008141662440547,0.15886969707034293,0.4534157582932344,0.4130191242723727
koenig_binding_g6,abmap_esm2_ridge,4,3852,423,0.5604806413934377,0.4061651151330688,-0.00247983580267519,0.36706567709874477,0.3538975608195816
koenig_binding_g6,abmap_esm2_ridge,5,3862,413,0.5428720962171062,0.41008260598345875,-0.12306714626242266,0.3187354890025975,0.2958328302782744
koenig_binding_g6,abmap_esm2_ridge,6,3853,422,0.5932244513096538,0.42931704168637536,-0.049502069816580674,0.31078798999965224,0.3004677900766155
koenig_binding_g6,abmap_esm2_ridge,7,3854,421,0.5746000291186187,0.4190424170343224,-0.01182848682684301,0.3656844960596713,0.3664133284251408
koenig_binding_g6,abmap_esm2_ridge,8,3847,428,0.5648642989004806,0.41186885717552346,-0.11796069800922693,0.3046128395019249,0.3454052723288115
koenig_binding_g6,abmap_esm2_ridge,9,3833,442,0.5295956846751065,0.39988194243558667,-0.12230634993179779,0.4007118761453425,0.29735804256258597
koenig_binding_g6,abmap_esm2_ridge,mean,38475,4275,0.5616960529953756,0.41188158595364427,-0.030366160923920603,0.3605761547302474,0.33374500715822003
koenig_expression_g6,abmap_esm2_ridge,0,3880,395,0.521020437119005,0.39684300473001777,0.18471052186998838,0.5364057476847757,0.5391955541014901
koenig_expression_g6,abmap_esm2_ridge,1,3807,468,0.5129602738903705,0.40579842156708473,0.24568837091868623,0.5576436275229578,0.5181619059022227
koenig_expression_g6,abmap_esm2_ridge,2,3821,454,0.4829327242452671,0.3810972384563996,0.26745306143840797,0.5805608969045227,0.5792053388964684
koenig_expression_g6,abmap_esm2_ridge,3,3866,409,0.5120173605583258,0.40153337018868873,0.1863727155510324,0.5302836560762356,0.5156635317971187
koenig_expression_g6,abmap_esm2_ridge,4,3852,423,0.473556669633888,0.35617960240689445,0.3057865620813415,0.6020084783942877,0.594795972832053
koenig_expression_g6,abmap_esm2_ridge,5,3862,413,0.4982491895661323,0.3954213985629218,0.21587443444107646,0.553693547911602,0.5388454507238822
koenig_expression_g6,abmap_esm2_ridge,6,3853,422,0.5216352195431047,0.4058111879413517,0.08560592145677648,0.4614325001276642,0.47487072232387095
koenig_expression_g6,abmap_esm2_ridge,7,3854,421,0.4986675300758573,0.3941220093682375,0.24438095806372462,0.5419334499220593,0.5219653049048193
koenig_expression_g6,abmap_esm2_ridge,8,3847,428,0.4870901575779661,0.3872009272692449,0.2844734855715503,0.5844952734100975,0.5620911066210262
koenig_expression_g6,abmap_esm2_ridge,9,3833,442,0.46816000446539346,0.3751211086351758,0.34752326209595175,0.6177691033963169,0.5993128281005058
koenig_expression_g6,abmap_esm2_ridge,mean,38475,4275,0.49762895666753104,0.38991282691260165,0.23678692934885365,0.556622628135052,0.5444107716203457
warszawski_binding_d44,abmap_esm2_ridge,0,1861,187,1.6063949238200337,1.3008165310849478,-0.5440815179605081,0.28554873826057975,0.30162410651659594
warszawski_binding_d44,abmap_esm2_ridge,1,1845,203,1.5790640536177445,1.2466712286150192,-0.4816597732738801,0.2438032565649691,0.29157481255982376
warszawski_binding_d44,abmap_esm2_ridge,2,1832,216,1.4576601768625184,1.175382325851342,-0.17954147333897152,0.3962534569863156,0.38817506510611216
warszawski_binding_d44,abmap_esm2_ridge,3,1852,196,1.5717029824622346,1.2692293804994792,-0.49955307070133315,0.24109632245043952,0.23647637460658977
warszawski_binding_d44,abmap_esm2_ridge,4,1835,213,1.4480410356572804,1.1582416925920271,-0.28698711270742794,0.36830926278785253,0.33242701713715056
warszawski_binding_d44,abmap_esm2_ridge,5,1836,212,1.4700614386140578,1.168629254133493,-0.25037589588638154,0.33983959709356254,0.2947315258394428
warszawski_binding_d44,abmap_esm2_ridge,6,1845,203,1.3247516120236216,1.0716904806943721,-0.18688022147581962,0.45802109182875445,0.42869423356653674
warszawski_binding_d44,abmap_esm2_ridge,7,1839,209,1.283486851214142,1.0069574830146977,-0.06852561002073121,0.47658636310659797,0.4788517726392304
warszawski_binding_d44,abmap_esm2_ridge,8,1838,210,1.5192467682369128,1.2212374818455476,-0.3453440646367558,0.28200159884199444,0.2775180252935508
warszawski_binding_d44,abmap_esm2_ridge,9,1849,199,1.513864627319119,1.1685596998221737,-0.31993550456028275,0.396939318719944,0.4246596880475307
warszawski_binding_d44,abmap_esm2_ridge,mean,18432,2048,1.4774274469827664,1.17874155581531,-0.31628842445620914,0.348839900664101,0.34547326213125634
