task,model,fold,n_train,n_test,rmse,mae,r2,pearson,spearman
koenig_binding_g6,esm2_ridge,0,3880,395,0.5243897944678664,0.37294517226832596,0.12840215086806606,0.44783837109173563,0.4413669018171424
koenig_binding_g6,esm2_ridge,1,3807,468,0.5215752254406221,0.3710841718108098,0.1652257051738535,0.45870014243884705,0.4512323142309397
koenig_binding_g6,esm2_ridge,2,3821,454,0.4984045600282361,0.34891761025807927,0.24361990176631643,0.5175129910637654,0.49139555314525646
koenig_binding_g6,esm2_ridge,3,3866,409,0.48461840017232793,0.34090817068300766,0.31243425045660345,0.5640083612429725,0.5372751315617382
koenig_binding_g6,esm2_ridge,4,3852,423,0.509884728334839,0.37031575586009424,0.1703433072462336,0.48409566208817645,0.44850324685916915
koenig_binding_g6,esm2_ridge,5,3862,413,0.4686494837766901,0.34589459883738227,0.16303563049899583,0.474651360255668,0.44950411014617175
koenig_binding_g6,esm2_ridge,6,3853,422,0.5380452830582145,0.3820405409397112,0.13665799903866138,0.44264531318552114,0.4073147273575848
koenig_binding_g6,esm2_ridge,7,3854,421,0.48609820716102947,0.34839923629448466,0.27585813936912973,0.5391275316176816,0.5474106605980062
koenig_binding_g6,esm2_ridge,8,3847,428,0.49290978330116525,0.3615389023498547,0.14871857211978878,0.4713132587529807,0.45280003073378655
koenig_binding_g6,esm2_ridge,9,3833,442,0.4813299312841273,0.3494028576477007,0.07293906132851635,0.46208247402301195,0.4359663527701015
koenig_binding_g6,esm2_ridge,mean,38475,4275,0.5005905397025119,0.35914470169494506,0.1817234717866165,0.48619754657603603,0.46627690292198964
koenig_expression_g6,esm2_ridge,0,3880,395,0.3855975813611231,0.30270877177942845,0.5534491483558487,0.7541243892966178,0.7549502975662127
koenig_expression_g6,esm2_ridge,1,3807,468,0.3860138060432996,0.29574986046892027,0.5728415384919208,0.7631796288187565,0.7433726590057416
koenig_expression_g6,esm2_ridge,2,3821,454,0.3788927381406796,0.29339233873966913,0.5490849286768293,0.7452694516911986,0.7111078638464068
koenig_expression_g6,esm2_ridge,3,3866,409,0.3991400047918213,0.30150629408517804,0.5055679129094681,0.7254153051194263,0.722928513047535
koenig_expression_g6,esm2_ridge,4,3852,423,0.3724475543876238,0.2825019422187468,0.5705828803211036,0.7636779948068942,0.7244467701772827
koenig_expression_g6,esm2_ridge,5,3862,413,0.39237393776684953,0.31456089139517857,0.5137129348507183,0.7238453211965594,0.6983378040107875
koenig_expression_g6,esm2_ridge,6,3853,422,0.36466433099012685,0.2857533638224304,0.5531248923202308,0.7519742810170824,0.7314535665820452
koenig_expression_g6,esm2_ridge,7,3854,421,0.37896882926531533,0.29539389478646844,0.5635970351469426,0.7585007588609198,0.7475056166042421
koenig_expression_g6,esm2_ridge,8,3847,428,0.39760501824287225,0.3032945128516476,0.5232280050045276,0.7315648882046386,0.7167710545281778
koenig_expression_g6,esm2_ridge,9,3833,442,0.3952719076892525,0.2978239004500422,0.5348764649611726,0.7451362100317598,0.7426344734803108
koenig_expression_g6,esm2_ridge,mean,38475,4275,0.38509757086789637,0.297268577059771,0.5440065741038762,0.7462688229043853,0.7293508618848742
